Variant,cat,t,f_mean,f_sem,f_n
WT,expressing,67,0.6074543124232565,0.02669672280433508,3
WT,nonexpressing,67,0.641497975708502,0.06582870210092315,3
WT,expressing,68,0.6006515913348212,0.021183505852551465,3
WT,nonexpressing,68,0.6246176338281602,0.06383916197405937,3
WT,expressing,69,0.5956010862843161,0.026009588167943368,3
WT,nonexpressing,69,0.6029127305443095,0.05871088510500457,3
WT,expressing,70,0.5905505812338111,0.030907468929974046,3
WT,nonexpressing,70,0.5733130904183535,0.06357791013543158,3
WT,expressing,71,0.5760578276106226,0.03003896637085866,3
WT,nonexpressing,71,0.5733130904183535,0.06357791013543158,3
WT,expressing,72,0.5760578276106226,0.03003896637085866,3
WT,nonexpressing,72,0.5733130904183535,0.06357791013543158,3
WT,expressing,73,0.5659568175096126,0.038295424993906854,3
WT,nonexpressing,73,0.560267656320288,0.06142284751467384,3
WT,expressing,74,0.5514640638864241,0.041076706353623545,3
WT,nonexpressing,74,0.560267656320288,0.06142284751467384,3
WT,expressing,75,0.5464135588359191,0.04441534555426642,3
WT,nonexpressing,75,0.5559941520467837,0.05728476144532404,3
WT,expressing,76,0.5319208052127307,0.0504020162285003,3
WT,nonexpressing,76,0.5472222222222223,0.06015668841029924,3
WT,expressing,77,0.5167692900612155,0.05901820589022041,3
WT,nonexpressing,77,0.5386695906432749,0.06438315805929408,3
WT,expressing,78,0.49811334283383973,0.04938810162068578,3
WT,nonexpressing,78,0.5342836257309942,0.06627021398991205,3
WT,expressing,79,0.49811334283383973,0.04938810162068578,3
WT,nonexpressing,79,0.49985942420152946,0.07074261931188419,3
WT,expressing,80,0.49306283778333465,0.053270795285895185,3
WT,nonexpressing,80,0.48703328834907783,0.07075842419382998,3
WT,expressing,81,0.48626011669489927,0.04703321563638302,3
WT,nonexpressing,81,0.47431961313540266,0.06413602449432333,3
WT,expressing,82,0.48120961164439424,0.051257920823138216,3
WT,nonexpressing,82,0.470152946468736,0.06624479202507216,3
WT,expressing,83,0.45661584792019577,0.06096971421962198,3
WT,nonexpressing,83,0.44877980206927576,0.05769921303089545,3
WT,expressing,84,0.45661584792019577,0.06096971421962198,3
WT,nonexpressing,84,0.4445062977957715,0.05342873484164437,3
WT,expressing,85,0.45661584792019577,0.06096971421962198,3
WT,nonexpressing,85,0.43606612685560053,0.051513755355678564,3
WT,expressing,86,0.4515653428696907,0.06490305854315649,3
WT,nonexpressing,86,0.41885402609086825,0.053420851642907115,3
WT,expressing,87,0.4370725892465023,0.06830574607854485,3
WT,nonexpressing,87,0.41885402609086825,0.053420851642907115,3
WT,expressing,88,0.4370725892465023,0.06830574607854485,3
WT,nonexpressing,88,0.40175438596491225,0.04914629764151383,3
WT,expressing,89,0.4089743934464431,0.06081922303294577,3
WT,nonexpressing,89,0.39331421502474134,0.04721193151493141,3
WT,expressing,90,0.4089743934464431,0.06081922303294577,3
WT,nonexpressing,90,0.38026878092667565,0.04710983708960312,3
WT,expressing,91,0.4089743934464431,0.06081922303294577,3
WT,nonexpressing,91,0.35889563652721546,0.03859259980204419,3
WT,expressing,92,0.4089743934464431,0.06081922303294577,3
WT,nonexpressing,92,0.3546221322537112,0.03433051236990567,3
WT,expressing,93,0.40392388839593807,0.06348218839901208,3
WT,nonexpressing,93,0.3546221322537112,0.03433051236990567,3
WT,expressing,94,0.40392388839593807,0.06348218839901208,3
WT,nonexpressing,94,0.35045546558704455,0.03632314333518627,3
WT,expressing,95,0.36572468249486884,0.06203678383277746,3
WT,nonexpressing,95,0.3377417903733693,0.03019308244891271,3
WT,expressing,96,0.3512319288716804,0.0703428895765797,3
WT,nonexpressing,96,0.3248088169140801,0.023505306612795866,3
WT,expressing,97,0.33432819768223493,0.06761647813137674,3
WT,nonexpressing,97,0.3073774179037337,0.027904709434905906,3
WT,expressing,98,0.3079822179201061,0.07144669845147068,3
WT,nonexpressing,98,0.3031039136302294,0.024009079517072738,3
WT,expressing,99,0.3079822179201061,0.07144669845147068,3
WT,nonexpressing,99,0.2945569050832209,0.01677912730544308,3
WT,expressing,100,0.29348946429691775,0.081409965103176593,3
WT,nonexpressing,100,0.28611673414304994,0.012874568635430569,3
WT,expressing,101,0.2816362381579773,0.07608308776513534,3
WT,nonexpressing,101,0.28173076923076923,0.016902303683891298,3
WT,expressing,102,0.2816362381579773,0.07608308776513534,3
WT,nonexpressing,102,0.27295883940620785,0.02531747822436458,3
WT,expressing,103,0.2816362381579773,0.07608308776513534,3
WT,nonexpressing,103,0.27295883940620785,0.02531747822436458,3
WT,expressing,104,0.2816362381579773,0.07608308776513534,3
WT,nonexpressing,104,0.27295883940620785,0.02531747822436458,3
WT,expressing,105,0.2816362381579773,0.07608308776513534,3
WT,nonexpressing,105,0.26868533513270354,0.022600971599968007,3
WT,expressing,106,0.2816362381579773,0.07608308776513534,3
WT,nonexpressing,106,0.26868533513270354,0.022600971599968007,3
WT,expressing,107,0.27658573310747225,0.0775382758876935,3
WT,nonexpressing,107,0.2644118308591993,0.02042446592778538,3
WT,expressing,108,0.27658573310747225,0.0775382758876935,3
WT,nonexpressing,108,0.26024516419253263,0.018393455759944645,3
WT,expressing,109,0.27658573310747225,0.0775382758876935,3
WT,nonexpressing,109,0.26024516419253263,0.018393455759944645,3
WT,expressing,110,0.27658573310747225,0.0775382758876935,3
WT,nonexpressing,110,0.2558591992802519,0.022757657237605686,3
WT,expressing,111,0.2561775698421661,0.05767953249186357,3
WT,nonexpressing,111,0.2514732343679712,0.02712887921605253,3
WT,expressing,112,0.24937484875373075,0.051156145987125326,3
WT,nonexpressing,112,0.2514732343679712,0.02712887921605253,3
WT,expressing,113,0.22807937404210699,0.056609426804598344,3
WT,nonexpressing,113,0.24292622582096265,0.02340249148534641,3
WT,expressing,114,0.21117564285266152,0.05121163833392795,3
WT,nonexpressing,114,0.23010008996851103,0.023585224813805896,3
WT,expressing,115,0.21117564285266152,0.05121163833392795,3
WT,nonexpressing,115,0.22155308142150246,0.022671965063124605,3
WT,expressing,116,0.20437292176422614,0.04497790874121237,3
WT,nonexpressing,116,0.2130060728744939,0.024857109251371017,3
WT,expressing,117,0.20437292176422614,0.04497790874121237,3
WT,nonexpressing,117,0.2130060728744939,0.024857109251371017,3
WT,expressing,118,0.20437292176422614,0.04497790874121237,3
WT,nonexpressing,118,0.2130060728744939,0.024857109251371017,3
