Variant,cat,t,f_mean,f_sem,f_n
D262V,expressing,84,0.5715193917321577,0.08466487075801743,3
WT,expressing,84,0.45661584792019577,0.06096971421962198,3
allW D262V,expressing,85,0.28968578714175586,0.022460298511670234,3
D262V,expressing,85,0.5685163887291547,0.08730344211468187,3
WT,expressing,85,0.45661584792019577,0.06096971421962198,3
allW D262V,expressing,86,0.27682245999271443,0.027079820137306584,3
D262V,expressing,86,0.5625103827231487,0.0926471828847888,3
WT,expressing,86,0.4515653428696907,0.06490305854315649,3
allW D262V,expressing,87,0.27682245999271443,0.027079820137306584,3
D262V,expressing,87,0.5524151811385855,0.0950555327716617,3
WT,expressing,87,0.4370725892465023,0.06830574607854485,3
allW D262V,expressing,88,0.26769003990139023,0.02162033565345356,3
D262V,expressing,88,0.5423199795540221,0.0977939003862584,3
WT,expressing,88,0.4370725892465023,0.06830574607854485,3
allW D262V,expressing,89,0.2563211087672927,0.026573378322391133,3
D262V,expressing,89,0.5423199795540221,0.0977939003862584,3
WT,expressing,89,0.4089743934464431,0.06081922303294577,3
allW D262V,expressing,90,0.24951838767885734,0.033283509963389815,3
D262V,expressing,90,0.5251325793878986,0.10183895771016306,3
WT,expressing,90,0.4089743934464431,0.06081922303294577,3
allW D262V,expressing,91,0.24951838767885734,0.033283509963389815,3
D262V,expressing,91,0.49683406811066383,0.09653117392508656,3
WT,expressing,91,0.4089743934464431,0.06081922303294577,3
allW D262V,expressing,92,0.23814945654475986,0.038472304353324535,3
D262V,expressing,92,0.49683406811066383,0.09653117392508656,3
WT,expressing,92,0.4089743934464431,0.06081922303294577,3
allW D262V,expressing,93,0.23814945654475986,0.038472304353324535,3
D262V,expressing,93,0.48373586352309755,0.1026474365831931,3
WT,expressing,93,0.40392388839593807,0.06348218839901208,3
allW D262V,expressing,94,0.22071991935005633,0.03965660868207587,3
D262V,expressing,94,0.475177304964539,0.09937517521032486,3
WT,expressing,94,0.40392388839593807,0.06348218839901208,3
allW D262V,expressing,95,0.22071991935005633,0.03965660868207587,3
D262V,expressing,95,0.475177304964539,0.09937517521032486,3
WT,expressing,95,0.36572468249486884,0.06203678383277746,3
allW D262V,expressing,96,0.22071991935005633,0.03965660868207587,3
D262V,expressing,96,0.469171298958533,0.10374687128660659,3
WT,expressing,96,0.3512319288716804,0.0703428895765797,3
allW D262V,expressing,97,0.21391719826162095,0.04635301908207072,3
D262V,expressing,97,0.46616829595553,0.10599274177841765,3
WT,expressing,97,0.33432819768223493,0.06761647813137674,3
allW D262V,expressing,98,0.2078565922010149,0.04276574131373668,3
D262V,expressing,98,0.4606127403999744,0.10075438288210142,3
WT,expressing,98,0.3079822179201061,0.07144669845147068,3
allW D262V,expressing,99,0.2078565922010149,0.04276574131373668,3
D262V,expressing,99,0.4434253402338509,0.10620757072521674,3
WT,expressing,99,0.3079822179201061,0.07144669845147068,3
allW D262V,expressing,100,0.2078565922010149,0.04276574131373668,3
D262V,expressing,100,0.427774583093732,0.10494156755524847,3
WT,expressing,100,0.29348946429691775,0.081409965103176593,3
allW D262V,expressing,101,0.2078565922010149,0.04276574131373668,3
D262V,expressing,101,0.4222190275381765,0.09950680248906088,3
WT,expressing,101,0.2816362381579773,0.07608308776513534,3
allW D262V,expressing,102,0.1987241721096907,0.039480550072272344,3
