Day,Variant,Frame,i_GFP,t_dissolution
20231005,allW D262V,5,362,107
20231005,allW D262V,6,231,148
20231005,allW D262V,6,418,181
20231005,allW D262V,7,244,181
20231005,allW D262V,7,340,160
20231005,allW D262V,7,903,181
20231005,allW D262V,7,132,107
20231005,allW D262V,7,112,116
20231005,allW D262V,7,102,94
20231005,allW D262V,8,123,181
20231005,allW D262V,8,130,112
20231005,allW D262V,8,261,134
20231005,allW D262V,8,718,156
20231005,allW D262V,8,104,99
20231005,allW D262V,9,129,85
20231005,allW D262V,9,108,143
20231005,allW D262V,10,784,181
20231005,allW D262V,10,311,75
20231005,allW D262V,10,132,85
20231005,allW D262V,10,104,131
20231005,allW D262V,10,103,114
20231005,allW D262V,11,208,91
20231005,allW D262V,11,193,131
20231005,allW D262V,12,701,123
20231005,allW D262V,12,1538,123
20231005,allW D262V,12,534,97
20231005,allW D262V,13,422,181
20231005,allW D262V,14,770,181
20231005,allW D262V,14,191,94
20231005,allW D262V,14,173,94
20231005,allW D262V,15,682,96
20231005,allW D262V,15,232,126
20231005,allW D262V,16,166,112
20231005,allW D262V,16,162,98
20231005,allW D262V,17,176,95
20231005,allW D262V,17,145,108
20231005,allW D262V,19,1558,110
20231005,allW D262V,20,359,98
20231005,allW D262V,20,137,107
20231207,WT,1,692,101
20231207,WT,1,156,87
20231207,WT,1,167,101
20231207,WT,2,361,181
20231207,WT,2,106,160
20231207,WT,2,105,135
20231207,WT,3,351,176
20231207,WT,3,174,169
20231207,WT,3,1015,92
20231207,WT,4,119,139
20231207,WT,4,121,119
20231207,WT,4,103,98
20231207,WT,5,115,155
20231207,WT,6,771,86
20231207,WT,6,169,85
20231207,WT,6,114,126
20231207,WT,6,108,181
20231207,WT,6,103,137
20231207,WT,7,187,99
20231207,WT,7,174,132
20231207,WT,7,248,145
20231207,WT,7,121,181
20231207,WT,7,113,100
20231207,WT,7,119,106
20231207,WT,8,147,159
20231207,WT,8,117,107
20231207,WT,8,109,105
20231207,WT,9,112,109
20231207,WT,9,112,139
20231207,WT,9,148,84
20231207,WT,9,103,129
20231207,WT,10,273,181
20231207,WT,10,349,157
20231207,WT,10,110,131
20231207,WT,10,125,181
20231207,WT,11,108,120
20231207,WT,11,108,90
20231207,WT,11,104,139
20231207,WT,11,103,181
20231207,WT,11,103,140
20231207,WT,12,623,181
20231207,WT,12,117,135
20231207,WT,12,103,142
20231207,WT,13,422,181
20231207,WT,13,262,159
20231207,WT,13,103,144
20231207,WT,13,104,145
20231207,WT,14,125,181
20231207,WT,14,104,163
20231207,WT,14,114,157
20231207,WT,15,122,181
20231207,WT,15,116,148
20231207,WT,15,108,120
20231207,WT,16,341,181
20231207,WT,16,474,176
20231207,WT,16,107,88
20231207,WT,16,113,181
20231207,WT,17,138,181
20231207,WT,17,110,101
20231207,WT,18,562,94
20231207,WT,18,113,98
20231207,WT,19,754,92
20231207,WT,19,117,96
20231207,WT,20,335,89
20231207,WT,20,148,103
20231207,WT,20,110,95
20231207,D262V,1,1796,181
20231207,D262V,1,146,169
20231207,D262V,1,106,132
20231207,D262V,1,123,155
20231207,D262V,1,127,106
20231207,D262V,2,232,119
20231207,D262V,2,421,149
20231207,D262V,2,254,132
20231207,D262V,2,375,141
20231207,D262V,2,852,181
20231207,D262V,2,545,181
20231207,D262V,3,148,164
20231207,D262V,3,183,78
20231207,D262V,3,182,166
20231207,D262V,3,139,138
20231207,D262V,3,210,133
20231207,D262V,4,337,101
20231207,D262V,4,293,83
20231207,D262V,4,469,181
20231207,D262V,4,199,106
20231207,D262V,4,194,79
20231207,D262V,4,109,117
20231207,D262V,5,125,136
20231207,D262V,5,115,112
20231207,D262V,5,107,117
20231207,D262V,5,104,142
20231207,D262V,5,110,106
20231207,D262V,6,221,169
20231207,D262V,6,130,150
20231207,D262V,6,127,119
20231207,D262V,6,382,159
20231207,D262V,6,466,158
20231207,D262V,7,259,172
20231207,D262V,7,441,181
20231207,D262V,7,170,81
20231207,D262V,7,311,181
20231207,D262V,7,359,181
20231207,D262V,7,121,181
20231207,D262V,7,139,83
20231207,D262V,7,132,93
20231207,D262V,8,197,84
20231207,D262V,8,149,90
20231207,D262V,8,135,106
20231207,D262V,8,139,75
20231207,D262V,8,213,139
20231207,D262V,9,228,181
20231207,D262V,9,142,164
20231207,D262V,9,145,96
20231207,D262V,9,147,86
20231207,D262V,10,203,126
20231207,D262V,10,223,117
20231207,D262V,10,157,101
20231207,D262V,10,435,148
20231207,D262V,10,607,124
20231207,D262V,10,571,118
20231207,D262V,10,158,158
20231207,D262V,10,145,181
20231207,D262V,11,1337,139
20231207,D262V,11,397,102
20231207,D262V,11,1395,181
20231207,D262V,11,112,81
20231207,D262V,12,111,98
20231207,D262V,12,131,141
20231207,D262V,12,221,81
20231207,D262V,12,121,102
20231207,D262V,12,179,161
20231207,D262V,12,170,124
20231207,D262V,12,201,181
20231207,D262V,13,173,181
20231207,D262V,13,117,101
20231207,D262V,13,128,177
20231207,D262V,13,142,145
20231207,D262V,13,110,181
20231207,D262V,13,162,131
20231207,D262V,13,202,156
20231207,D262V,14,1704,155
20231207,D262V,14,295,101
20231207,D262V,14,514,181
20231207,D262V,14,472,89
20231207,D262V,14,409,99
20231207,D262V,15,274,106
20231207,D262V,15,325,90
20231207,D262V,15,118,171
20231207,D262V,15,251,81
20231207,D262V,15,154,89
20231207,D262V,15,115,181
20231207,D262V,16,115,126
20231207,D262V,16,105,110
20231207,D262V,16,103,166
20231207,D262V,16,107,128
20231207,D262V,16,121,181
20231207,D262V,16,120,181
20231207,D262V,16,105,146
20231207,D262V,17,268,148
20231207,D262V,17,168,98
20231207,D262V,17,176,105
20231207,D262V,17,491,181
20231207,D262V,17,128,181
20231207,D262V,17,118,147
20231207,D262V,18,232,127
20231207,D262V,18,320,140
20231207,D262V,18,420,152
20231207,D262V,18,332,181
20231207,D262V,19,200,117
20231207,D262V,19,223,119
20231207,D262V,19,608,114
20231207,D262V,19,158,153
20231207,D262V,19,146,181
20231207,D262V,20,233,165
20231207,D262V,20,109,116
20231207,D262V,20,289,162
20231207,allW D262V,1,123,77
20231207,allW D262V,1,118,100
20231207,allW D262V,1,125,90
20231207,allW D262V,1,489,109
20231207,allW D262V,1,103,122
20231207,allW D262V,1,109,97
20231207,allW D262V,2,106,139
20231207,allW D262V,2,108,89
20231207,allW D262V,2,111,93
20231207,allW D262V,2,110,118
20231207,allW D262V,2,107,100
20231207,allW D262V,2,106,107
20231207,allW D262V,3,154,92
20231207,allW D262V,3,131,107
20231207,allW D262V,3,114,85
20231207,allW D262V,4,202,91
20231207,allW D262V,4,282,181
20231207,allW D262V,4,113,99
20231207,allW D262V,4,192,181
20231207,allW D262V,4,355,181
20231207,allW D262V,4,169,90
20231207,allW D262V,4,167,97
20231207,allW D262V,4,106,164
20231207,allW D262V,5,961,181
20231207,allW D262V,5,314,82
20231207,allW D262V,5,142,116
20231207,allW D262V,5,119,121
20231207,allW D262V,5,185,109
20231207,allW D262V,5,113,91
20231207,allW D262V,6,412,147
20231207,allW D262V,6,427,144
20231207,allW D262V,6,200,109
20231207,allW D262V,6,112,81
20231207,allW D262V,6,115,79
20231207,allW D262V,6,126,151
20231207,allW D262V,7,344,175
20231207,allW D262V,7,414,123
20231207,allW D262V,7,1211,121
20231207,allW D262V,7,1293,181
20231207,allW D262V,7,114,107
20231207,allW D262V,7,107,106
20231207,allW D262V,8,123,153
20231207,allW D262V,8,106,165
20231207,allW D262V,9,823,178
20231207,allW D262V,10,124,176
20231207,allW D262V,10,115,173
20231207,allW D262V,10,115,119
20231207,allW D262V,10,216,118
20231207,allW D262V,11,104,89
20231207,allW D262V,11,104,103
20231207,allW D262V,11,131,94
20231207,allW D262V,11,180,83
20231207,allW D262V,11,106,104
20231207,allW D262V,12,168,139
20231207,allW D262V,12,165,90
20231207,allW D262V,12,110,107
20231207,allW D262V,13,526,181
20231207,allW D262V,13,307,136
20231207,allW D262V,13,1139,181
20231207,allW D262V,13,159,120
20231207,allW D262V,13,116,97
20231207,allW D262V,14,107,80
20231207,allW D262V,14,117,83
20231207,allW D262V,14,111,99
20231207,allW D262V,14,119,80
20231207,allW D262V,15,567,94
20231207,allW D262V,16,142,85
20231207,allW D262V,16,123,84
20231207,allW D262V,16,111,87
20231207,allW D262V,18,128,158
20231207,allW D262V,18,126,97
20231207,allW D262V,18,107,74
20231207,allW D262V,18,196,107
20231207,allW D262V,19,620,88
20231207,allW D262V,19,139,86
20231207,allW D262V,20,110,93
20231207,allW D262V,20,143,87
20231207,allW D262V,20,116,79
20231207,allW D262V,20,222,84
20231207,allW D262V,20,646,181
