Variant,cat,t,f_mean,f_sem,f_n
WT,nonexpressing,74,0.560267656320288,0.06142284751467384,3
allW D262V,nonexpressing,75,0.45043859649122814,0.05757027969121068,3
D262V,nonexpressing,75,0.5625,0.06414501799308606,3
WT,nonexpressing,75,0.5559941520467837,0.05728476144532404,3
allW D262V,nonexpressing,76,0.44188596491228066,0.05334269236327158,3
D262V,nonexpressing,76,0.55,0.0616610357789531,3
WT,nonexpressing,76,0.5472222222222223,0.06015668841029924,3
allW D262V,nonexpressing,77,0.42938596491228065,0.0552857792742957,3
D262V,nonexpressing,77,0.5375,0.05773502691896257,3
WT,nonexpressing,77,0.5386695906432749,0.06438315805929408,3
allW D262V,nonexpressing,78,0.42938596491228065,0.0552857792742957,3
D262V,nonexpressing,78,0.5333333333333333,0.05788518328937418,3
WT,nonexpressing,78,0.5342836257309942,0.06627021398991205,3
allW D262V,nonexpressing,79,0.41228070175438597,0.057138872261355264,3
D262V,nonexpressing,79,0.5208333333333334,0.04695594862326935,3
WT,nonexpressing,79,0.49985942420152946,0.07074261931188419,3
allW D262V,nonexpressing,80,0.41228070175438597,0.057138872261355264,3
D262V,nonexpressing,80,0.5083333333333333,0.05120085719768547,3
WT,nonexpressing,80,0.48703328834907783,0.07075842419382998,3
allW D262V,nonexpressing,81,0.41228070175438597,0.057138872261355264,3
D262V,nonexpressing,81,0.5,0.054486236794258416,3
WT,nonexpressing,81,0.47431961313540266,0.06413602449432333,3
allW D262V,nonexpressing,82,0.3953947368421053,0.050862539480817044,3
D262V,nonexpressing,82,0.49583333333333335,0.05416666666666667,3
WT,nonexpressing,82,0.470152946468736,0.06624479202507216,3
allW D262V,nonexpressing,83,0.38706140350877194,0.05413469473359634,3
D262V,nonexpressing,83,0.49166666666666664,0.05068968775248515,3
WT,nonexpressing,83,0.44877980206927576,0.05769921303089545,3
allW D262V,nonexpressing,84,0.3703947368421053,0.057490866029514975,3
D262V,nonexpressing,84,0.48333333333333334,0.05120085719768547,3
WT,nonexpressing,84,0.4445062977957715,0.05342873484164437,3
allW D262V,nonexpressing,85,0.3620614035087719,0.06126119158939284,3
D262V,nonexpressing,85,0.475,0.04506939094329988,3
WT,nonexpressing,85,0.43606612685560053,0.051513755355678564,3
allW D262V,nonexpressing,86,0.3620614035087719,0.06126119158939284,3
D262V,nonexpressing,86,0.4666666666666666,0.03974746672570608,3
WT,nonexpressing,86,0.41885402609086825,0.053420851642907115,3
